Ulasan,Learnability,Efficiency,Errors,Satisfaction,
"Aplikasinya buruk, ketika saya ingin join dan menginputkan kode security selalu gagal krn jaringan. Dasar aplikasi jelek",0,0,1,1,
"app sangat lambat loadingnya, harap di upgrade. Kecewa",0,1,0,1,
"Kasih bintang 1 aja, daftar, di kaaih kode otp, pas isi data, kode otp invalid....🤣🤣",0,0,1,0,
Semua udh bnr tp gabisa signin susah bgt,0,0,1,0,
Okee sudah nice 👍,0,0,0,1,
Ribet mau login aja ngga bisa iklas ngga sih bikin aplikasi ini,0,0,1,0,
Aplikasi busuk mau masuk ribet amat,1,1,0,0,
"Aneh banget , udh lengkap buat join. Internal server error terus.",0,0,1,0,
susah dipake,1,0,0,0,
Buang2 wkt udh daftar masuk pass tp g bs hadeehhh repot udh masuk email udh berhasil eh loading terus,0,1,1,0,
"Apk semple. Udah daftr, Giliran log in gk bisa username invlid terus diforgt juga gk dpt blsn email, ini apk gj bnget saya sudah coba dftr 2x dengn no tlfon berbeda dan email berbda tetap sama gk bisa log in.",0,0,1,0,
Susah kirim OTPnya mending gak usah download sebelum ada perbaikan jelas,0,0,1,0,
Good,0,0,0,1,
"MENDING GAUSAH DOWNLOAD, APPLIKASI GAK GUNA, UDH KLIK KIRIM OTP BERKALI2 GAK ADA 1 PUN OTP YG MASUK KE SMS",0,0,1,0,
benerin tuh null code gajelas duit w banyak disini,0,0,1,0,
Gak jelas gak masuk masuk otp nya,0,0,1,0,
"Mohon aplikasi nya segera diperbaiki. Setiap join gak pernah dapet kode otp nya,padahal nomor hp yang gw masukin udah bener. Terus daftar lewat website nya malah gagal terus.",0,0,1,0,
OTPNYA GAK DIKIRIM KIRIIIIMMM . UDAH SEJAM GUE KLIK BERKALI KALI MINTA KODE OTP ! NIAT GAK SIH BKIN APK MEMBER?,0,0,1,0,
Ga jelas bgt mau sign up kode otp ga dikirim-kirim . Sekelas starbucks aplikasinya nge bug gini terus. Auto uninstall deh,0,0,1,0,
"Ga bisa digunakan, apk ngebug",0,0,1,0,
Register udah tinggal sign aja gaisa hdeh gamau jalan sign nya,0,0,1,0,
Aplikasi yang mengecewakan,0,0,0,1,
Ga bisa masuk,0,0,1,0,
"Bagus, tp 6bulan kadaluarsa kartu, jd hangus uang di kartunya.",0,0,1,1,
Ini kenapa gabsa login sih. Udh dpt otp segala macem ttep gabisa. Mw login dibilangnya salah password. Aneh ni aplikasi,0,0,1,0,
"aplikasi belum layak pakai, harap di maintenance ulang",1,0,0,1,
"Aplikasi gajelas, gabisa login aneh padahal baru sign up",0,0,1,0,
Tidak bisa ditarik uang nya kesel bngt buang2 duit dengan percuma,0,0,1,0,
Enak buat nongkrong,0,0,0,0,
"Alahhhhhh marketingggg di janjiin promo ini itu, tapi di persulit .. biar apa??? Biar di download tuh aplikasi 😑",0,0,0,0,
"Aplikasi nya nggak bisa di minimaze, mau liat kode otp diemail, malah kembali ke aplikasi ke hal sign in 😣😣😣",0,0,1,0,
Udah instal apk error ! Payah !!! Kasih bintang 1 karna apk nya tidak bisa dipakai dan server eror terus !!!,0,0,1,1,
We've vvttvl,0,0,0,0,
Promo tiputipu..,0,0,1,0,
"Please jgn download karena bakal susah/ bahkan gk bisa login. Saya sudah dapat kode otp dari email, lalu sudah saya masukan kode itu ke apk Starbucks. Tapi kenapa notif nya password salah. Dan sudah saya ulangi resens otp 5x . Tetap saja gk bisa log in, sungguh buang2 waktu dan kuota demi promo 10rb",0,0,1,0,
Mau login ga bisa woyy,0,0,1,0,
Intern sever error,0,0,1,0,
Gak bisa login terus,0,0,1,0,
Internal server error,0,0,1,0,
Bapuk,0,0,0,1,
RANIAC-698E87 gunain vocher aku buat dapet dis 50%,0,0,0,0,
"Loading terus, gabisa dipake",0,1,1,0,
Gak bisa sign in,0,0,1,0,
gabisaa log inn 👎🏾👎🏾👎🏾,0,0,1,0,
Login eror terus....,0,0,1,0,
Error terusssssss,0,0,1,0,
gabisa sign in blok,0,0,1,0,
"ga bisa daftar, error terus aneh",0,0,1,0,
No internet connection pala lo peyang. Kesel bgt gue!!,0,0,1,0,
Gajelas tiap signin gabisa,0,0,1,0,
"Ini komentar saya yg ke 3 setelah 2 komentar sebelumnya di atas tanpa ada solusi sama sekali, coba deh kalian install aplikasi trus login / forgot password ,, gw jamin kode verifikasi nggak bakal masuk ke email kalian",0,0,1,0,
"Thank you for update, sudah lebih stabil dan user-friendly.",0,0,0,1,
Ngga bisa log in.... Padahal tinggal masukin kode Verifikasi nya aja,0,0,1,0,
sekelas Starbucks kok aplikasi nya gini,0,0,0,1,
Ga bisa login,0,0,1,0,
Gabisa login woi gimnaa;(,0,0,1,0,
Udah daftar udah selesai tapi pas log in masukin paswd malah gabisa 😶,0,0,1,0,
Bali dikit boss masak jakarta,0,0,1,0,
Aneh kaga bisa daftar,0,0,1,0,
Mau login susah bgt,0,0,1,0,
Mau masuk suruh masukin email sudah bener semua tapi ga bisa anjrot,0,0,1,0,
"Aneh bgt sgala make referer kode, gajelas dh kan baru mau bikin akun knp jd ribet.",0,0,1,0,
Jelek bangeeeeed ribed,0,0,0,1,
"Aplikasinya ga jelas. Mau masuk aja ribet, gimana sih.",1,0,0,1,
"Saya mau applay promo di startbuck tsm bandung ga bisa, tolong priksa",0,0,1,0,
Baru download :( udah join in trus mw sign in tapi katanya invalid,0,0,1,0,
yang bener kalo bikin aplikasi gblk,0,0,0,1,
ga bisa login login jadi males,0,0,1,0,
"Click bait saja, tipu2",0,0,0,1,
"Gak bisaaa.... Pass di sign up failed keterangannya kode OTP failed, pdhal itu kode yg ngirim starbuck lgsg ke no HP kita.... Anehh!! Uninstall ajahlahh....",0,0,1,0,
Internet server error Mulu padahal udah coba berhari hari dan pakai internet yang lancar. Ini kenapaaaa,0,0,1,0,
"Aplikasi eror, di email tidak ada penyelesaian. Bagaimana ini?",0,0,1,0,
Setiap percobaan login selalu stuck di konfirmasi kode pin karena loadingnga ngak pernah selesai alhasil gak bisa masuk. Tolong di perbaiki.,0,0,1,0,
Eror mulu gajelass,0,0,1,0,
Yang buatnya ke sirit mukanya ke kntl. Kntl nya budug,0,0,0,0,
"Setiap kali memasukkan OTP not match, padahal udah copy paste. Wasting time !!!",0,0,1,0,
login gabisa gajelas,0,0,1,0,
Ada promo kah Starbucks ukuran tall @Rp10.000 SD 31des 21?,0,0,0,0,
kenapa susah sekali loginnya? sudah ketik buat password beberapa kali tapi tidak bisa log in,0,0,1,0,
Loginnya susah..otp sms smp 4x..otp email smp 2x..pas bikin code pasword malah eror terus.,0,0,1,0,
"Ga bisa login, masih erroe",0,0,1,0,
Susah sekali untuk sign in,0,0,1,0,
gabisa login mulu. aplikasi masih nge bug gini udah di launching aje,0,0,1,0,
"Mau daftar aja ""internal server error"" terus. Gada pilihan bahasa Indonesia lagi. Aplikasinya kayak nggak selevel sama Starbucks gitu.",0,0,1,0,
Mau log in aja susah hadehh,0,0,1,0,
Cara order minum di tangerang gimana ia....,1,0,0,0,
Referral code nya apa ya ?? Gk paham saya,1,0,0,0,
Susah sig in,0,0,1,0,
"Woii..kamu niat gak sih bikin aplikasi ini kok sy udah daftar 2 nomor hp saya yg berbeda dan email semua sukses pd saat join daftar ,masalahnya trouble ada di login pdhl waktu daftar join sukses semua giliran mau login ga bisa...anehh..aplikasi guoblokk taiii",0,0,1,0,
Atur passcode ga bisa bisa,0,0,1,0,
OTP incorrect mulu pdhl udah bener. Susah juga yg mau daftar🥲,0,0,1,0,
Ga bisa daftar,0,0,1,0,
Servernya Eror nih perbaikin dlu,0,0,1,0,
"Mau tnya untuk order lgsg mlalui apk ini,hny di daerah jakarta dan skitaranya??bisa tidak order lgsg lwat apk ini utk daerah lampung???",0,0,1,0,
Setelah berhasil daftar Mala keluar sndri trus pas dibuka lg Mala stuck di logo awal doang gimna dong😔,0,0,1,0,
"Halo pihak starbucks, kenapa yaa saya gabisa sign in? Tulisannya something wrong terus padahal saya sudah daftar klik join dan sucsses tulisannya. Pas mau sign in gabisa?",0,0,1,0,
Niat engga sih ngasih reward. Engga profesional untuk sekelas starbucks,0,0,1,0,
"Aplikasi gagal, harus banyak perbaikan, gak recomended sih untuk sekelas starbucks",0,0,0,1,
"Ribett sekali, pengguna baru nggak bisa loginn",0,0,1,0,
Aplikasi ga bisa dibuka smpah.,0,0,1,0,
Aplikasi apaan si login aja susah bet,0,0,1,0,
Kesel banget ama apk ini eror terus ga bisa log in sama sekali!!🙄🙄,0,0,1,0,
"sudah daftar pas mau login sama pasword internal server error,tolong dong diperbaiki aplikasinya",0,0,1,0,
LOL banyakan error,0,0,1,0,
G bsa log in,0,0,1,0,
Apa apaan saya baru download gabisa login dengan alasan server error gimana si,0,0,1,0,
Login gagal? Pengguna baru ga diterima disini bro,0,0,1,0,
"Saya baru daftar, udh berhasil dapat balasan email, trus pas saya mau log in knp gak bisa ya ?",0,0,1,0,
Kok udh forgot Password tp gak ada email buat resetnya ya,0,0,1,0,
"Aplikasi jelek, sudah joint, tapi saat login selalu dibilang invalid username/password",0,0,1,0,
"SUSAH BANGET BUAT REGISTER, SUSAH VERIFIKASI SEMUA TETEP AJA GABISA, MENDING GAUSAH DONLOT DEH",0,0,1,0,
"Baru buka aplikasi nya udh eror,,dr smlm udh dicoba bbrpa kali ttp ga bisa",0,0,1,0,
ada promo sampai tanggal 30 Desember kan min?,0,0,0,0,
"Ketika melakukan registrasi terdapat notifikasi gagal karena internal server error, tp saat dilakukan registrasi ulang tidak dapat karena email/no telp sudah terdaftar, tapi dicoba lupa password juga tidak masuk di email.",0,0,1,0,
kenapa saya mengalami kesulitan untuk login padahal emaik dan pw sudah benar,0,0,1,0,
"Email nya udah pas, waktu mau sign up eh ga bisa pass nya jg udah pas",0,0,1,0,
server eror trus kalo mau login,0,0,1,0,
Bru aja buat akun pas mau login malah gbs pdhal email sm password sama. Jelek bgt apknya tlg dibantu ya,0,0,1,0,
"Gak bisa login gimana lah udah daftar, sistem error terus",0,0,1,0,
code referrel nya apa ya,1,0,0,0,
"tolong di perbaiki app nya, gak jelas ribet bgt, sudah berhasil join pas mau sigh up email atau pwd salah terus. Capek 👎",0,0,1,0,
ribet,0,0,0,1,
Saya ingin daftar kok servis gangguan terus iya knpa kira²,0,0,1,0,
Ga bisa login.. notifikasi nya internal eror..keburu abis promonya..hehe,0,0,1,0,
Ga bisa daftar akun,0,0,1,0,
Saya tidak bisa masuk ke akun pribadi saya,0,0,1,0,
APLIKASI NYA NIPU,0,0,0,1,
Udh join now tapi gak nerima2 email dan pas sign in gak bisa2:(,0,0,1,0,
"Pendaftaran akun sudah berhasil, akan tetapi pada saat sign in muncul kata ""Internal Server Error"" itu terus. Tolong diperbaiki secepatnya ya, terimakasih 😊",0,0,1,0,
Aplikasi cacad udh berhasil daftar malah ga bisa masuk.,0,0,1,0,
difficult to login sometimes,0,0,1,0,
gabisa login. internal sever error mulu ckckck. gabisa login tiba2 ada tulisan akun gue diblock. aneh banget. dari 2 tahun lalu juga gue uda pake app ini dan ternyata masih sama masalahnya. gaada perkembangan.,0,0,1,0,
Server error teross kenapa yee?,0,0,1,0,
"Mau join aja susah banget , internal eror trus 😌",0,0,1,0,
BENER BENER ANEH BANGET NI APLIKASI. UDAH MASUKIN KODE OTP YG BENER BERKALI2 TETEP AJA GAK BISA LOGIN. CCD,0,0,1,0,
"Ribet daftarnya gak bisa2, email saya belom pernah daftar sama sekali. Males ahh uninstal bae",0,0,1,0,
"Mau masuk ribet bgt, Padahal sudah finish tinggal Masuk suruh verif kode lewat email, setelah dapat kode dari email, di masukin kode nya ga bisa, katanya ga valid, HELOOOO itu kan yg ngirim kode nya juga Starbucks, di masukin td ga valid terus katanya, ANJJingg Nyesel bgt download nya, buang2 waktuuu!!!!",0,1,1,0,
Internal server error mulu,0,0,1,0,
Uda dftr tp mau log in gak bisa2.. bikin oasw utk log in malah katanya no connection.. aneh,0,0,1,0,
"Udah bikin akun tapi ga bs sign in,😞",0,0,1,0,
"Login aja susah banget tolong ditimgkatkan lagi, Progammernya tolong kerja yang bener",0,0,1,0,
Sudah join..pas mau masuk eh eror Mulu... kecewa,0,0,1,1,
Gk bisa signup loooohhh huuuffttt,0,0,1,0,
gk bisa login,0,0,1,0,
"Haloooo ini kenapa trouble di sign in yaaa? Saya sudah mau sign in, udh dapet otp di email, tp di laman aplikasi nya gaada kolom untuk input kode otp. Moon bantuan",0,0,1,0,
LOADING MULU,0,1,1,0,
Gabisa masuk padahal udah daftar pas udah mau login malah gabisa tertulis Server Error maunya gimana sih?,0,0,1,0,
Ok,0,0,0,1,
Mantappp banyak rewardnyaaa,0,0,0,1,
keep error,0,0,1,0,
Good,0,0,0,1,
Keren bgt,0,0,0,1,
Good,0,0,0,1,
"Terima kasih ya Starbucks, setelah update dgn versi yg ini, aplikasi Starbucks sy bisa di buka lagi... 👍👍👍",0,0,0,1,
Okeah,0,0,0,1,
Keren,0,0,0,1,
Maintain Good Job Mike...,0,0,0,1,
Serve n Kept goin,0,0,0,0,
Bagus,0,0,0,1,
Ok mantap keren bagus yuhhuuuu,0,0,0,1,
Bagus,0,0,0,1,
Enak,0,0,0,0,
Good,0,0,0,1,
Suka ..pelayanan sangat baik,0,0,0,0,
Makin Croot dech suka sama Starbucks mantul lah... Banyakiiin promo yang Croot croot Biar Mantap,0,0,1,0,
Aplikasi nya tidak bisa dibuka setelah mengaktifkan airplane mode,0,0,1,0,
Ribet login nyaa,0,0,1,0,
Login gak bisa nih. Ga dikirimin kode verifikasi ke Gmail nya .. payah.,0,0,1,0,
Interface bikin ribet lebih dari bank buat lebih efisien seperti gesture atau pin . setalah logout harus ini itu apk untuk minum bukan perbankan aman sih aman cuma terlalu ribet buat yg seefisien mungkin,0,1,0,0,
Memudahkan sekali utk yg sering lupa naruh atau ketinggalan Starbuck Card. Tapi pricelist menunya belom ada. Semoga kedepannya ada dan semoga tambah laris hehe,0,1,1,0,
Good,0,0,0,1,
"Kenapa mau buka app ga bisa?? Keterangan nya ga, ada signal padahal wifi full dan lancar banget ga ada masalah.. Payah banget nih applikasi.. Percuma download klo ga bisa di pake",0,0,1,0,
"Ga bisa login, orang passwordnya juga sama. Reset password ttp ga dpt email :))",0,0,1,0,
"Sering log out, dan g bisa masuk lagi sampai sekarang, sudah lupa pasw diganti pas mau masuk dibilang invalid User Id or Pasword",0,0,1,0,
Kok saya udah 3minggu ini ga bisa² login ya?,0,0,1,0,
Daftar sejak 2016 tidak jadi jadi. Aplikasi starbucks indonesia 👎🏿👎🏿👎🏿👎🏿👎🏿. Pelanggan setiamu sampai sekarang.tapi aplikasimu yang mengekecewakan.,0,0,0,1,
Bagus,0,0,0,1,
"Ribet, mau join aj di bikin ribet. Udah masukin 2 email eh ga bisa. Katanya ga valid. Padahal daftar apa aj pake email itu bisa2 aj. Pas tes pake email asal2an eh malah masuk. Tp Ujung2nya ga bisa verifikasi email gra2 Cuma ngasal...jgn bikin aplikasi dh kalau ribet.",0,1,1,0,
Good,0,0,0,1,
SETIAP MAU MASUKIN KODE PIN PAKAI PAKET DATA SELALU ERROR ! GAK NGERTI LG SKRNG SM APP STARBUCKS,0,0,1,0,
Pin tidak terkirim saat melakukan sign in untuk mendaftarkan akun. Sudah dicoba resend code berkali-kali tapi tidak ada kode pin yang terkirim ke email...,0,0,1,0,
Mantap,0,0,0,1,
Starbucknnya bagus banget,0,0,0,0,
Promonya kadang berbeda di semua outlet starbucks,0,0,0,0,
T c,0,0,0,0,
Nice taste....,0,0,0,0,
Gimna mau dapat OTP ?? Sudah resend berkali-kali tpi sms gk ada masuk. Ada cara lain buat sign up ??,0,0,1,0,
Kode OTP nya kok ga masuk masuk ke pesan sih...,0,0,1,0,
Rasa kopi nya enak banget,0,0,0,0,
Sudah daftar ikutin petunjuk. Mentok2 password invalid🤣🤣🤣🤣🤣. Halooouuuuuuu!!!!!!.#starbuck indonesia#,0,0,1,0,
"Susah join nya, otp nya gak masuk-masuk (via SMS)",0,0,1,0,
aplikasi tidak bisa di buka sama sekali. pake paket data ataupun wifi. tolong segera diperbaiki.,0,0,1,0,
Susah amat app ini GK jelasss ngajak berantem gw dah tiba² keluar sendiri terus daftar nya susahnya minta ampun,1,0,1,0,
"ga bisa login aplikasi semenjak update, refresh page mulu anjir tolong donk ditindak lanjuti team developer nya",0,0,1,0,
Jos,0,0,0,1,
sumpah ga bisa ganti pasword.... ga masuk email nyaa... ampunnnn,0,0,1,0,
trash.. i download it 3 times and still cant open the app. it says i dont hv connection. my internet connection is running well. Such a waste of time downloading this app.,0,1,1,0,
Saya belon dapat order Starbucks indonisah,0,0,1,0,
"Tiap buka aplikasi selalu konfirmasi kode ke email, RIBET!",1,1,0,0,
Sangat menyenangkan dan hemat waktu menggunakan applikasi ini,0,1,0,1,
"Lambat ngirimin kode OTP nya lewat email,klo bisa jngn lewat email lgi ngirim otp nya melainkan lewat w'a atau SMS",0,0,1,0,
Tempat diskusi yg enak banget ....,0,0,0,0,
Is the best,0,0,0,1,
Kenapa ndak bisa log in dan infonya internal server error,0,0,1,0,
"Sdh berhasil daftar tp ga bisa login, daftar ulang dikatakan email sdh terdaftar, buat lupa password, email reset password tdk ada masuk, pilih login muncul notif internal server error. Berulang kali install re install tetep g bisa juga. Payah...",0,0,1,0,
Happy,0,0,0,1,
Internal server eror terus!,0,0,1,0,
Setiap log in internal error trs.,0,0,1,0,
Menyenangkan,0,0,0,1,
"Kak saya barusan membuat lagi join up dengan email dan pw yang berbeda tetapi pas di sign in nya malah tidak bisa, kenapa ya ini?",0,0,1,0,
ga bisa sing in...internal error mulu masa😏,0,0,1,0,
Mau login error mulu,0,0,1,0,
"Karena diinfo kasirnya tuk download Starbucks makanya mau download, belom tahu akan ada manfaat atau tidak. Tapi begitu mau proses registrasi, susahnya minta Ampun, error Mulu, kayak penting banget aja, kayak dibutuhkan banget aja hahaha, langsung DELETE, menyebalkan proses registrasi nya, HAPUSlah gag butuh",1,1,1,0,
"Driver gojek & grab yg pernah jadi member platinum pada masanya, syg udh goresto",0,0,0,0,
👍,0,0,0,1,
Banyakin promo ya...,0,0,1,0,
Kenapa setelah diperbaharui malah aksesnya no wifi terus??? Padahal sinyal n kuotaku penuh,0,0,1,0,
"Saya tidak bisa sign in sudah beberapa kali coba, padahal jaringan internet bagus, apa solusinya?",0,0,1,0,
Smoga di acc,0,0,0,0,
"Baru join, kok pas mau sign in gak bisa masuk. Error mulu. Ini gimana ya? Apakah kalo di android emang gak bisa?",0,0,1,0,
Gak bisa di akses,0,0,1,0,
Not good,0,0,0,1,
Free one vintage,0,0,0,0,
Stelah d update dibuka mesti pake Wifi g bisa kuota hp ... jelek banget,0,0,1,0,
Wah saya dapatkartu nya saya dapat makanan dan minuman,0,0,0,1,
Senang dengan diskon²nya,0,0,1,0,
RIBET KALI YA MAU LOGIN AJA.....GA GUNA APLIKASI KAYAK GINI,1,1,0,0,
Aplikasi ini mempermudah dan membuat saya banyak dpt promo. namun jika batre hp saya habis. maka saya yg susah.,0,1,0,0,
Knp review org² pada gak bagus? Berarti emg gak cocok pny aplikasi spt kopi kenangan yg nyaman di pakai.,0,0,0,1,
"Setelah di update, ga bisa d bukaa Can't connect to the network terus 😢padahal ada kuota, solusi nya gmn min",0,0,1,0,
Ok,0,0,0,1,
Kopi susu,0,0,0,0,
My Fav cafe 🥰 & coffee,0,0,0,0,
Good Jobs,0,0,0,1,
"Setelah diupdate aplikasi malah tidak bisa dibuka terus, selalu tulisannya retry jaringan tidak ada, pdhl sedang connect wifi hufft jd repot cek saldo dan rewardnya",0,1,1,0,
👍,0,0,0,1,
"kode verifikasi hbs daftar mana gamasuk2 email dh bener, ealah ribet",0,1,1,0,
"Kirain cuma gw doang yg gak bisa login, buat dapet code verifikasi di gmail gak masuk-masuk email nya, mohon di bantu untuk masalahnya",0,0,1,0,
"Aplikasi tidak bisa dibuka jika menggunakan kuota hp,, kl saya pake WiFi kantor baru bisa. Tdk user friendly stlh diupdate, aplikasi jadi butuh kuota yg besar untuk membukanya. tlng diperbaiki..",1,0,1,0,
Akhirnya setelah tidak bisa dibuka sekarang dah bisa lagi lancar.. terima kasih banyak,0,0,1,0,
Tetap menjadi idola unk keluargaku BiHiZa,0,0,0,0,
"Kurang kompatibel saat isi pin, malah dikira isi otp, keyboardnya jadi naik turun, tapi apps keuangan lainnya lancar lancar aja Perbaikan masalah sangat cepat, feedback costumer didengar dengan baik",0,0,1,0,
Buang2 waktu gw aja,0,1,0,0,
Good,0,0,0,1,
Apakah Ulasan ini membantu. tolong supaya bisa di cek unek uneknya.,0,0,0,0,
Mudah diakses,1,0,0,0,
kembangin terus ...,0,0,0,1,
"As long as keren seh,,, cuman ada bbrp outlet yg pelayanan nya lambat meskipun Costumernya kurang",0,0,0,0,
"Pokoknya klu mau ngopi ingat starbucks, soalnya ada susu soya😄😄",0,0,0,0,
"yassalam , ini aplikasi kok makin ancur fungsionalitas + UI nya awowkwkw, gw mantan developer android starbucks yang dulu pernah nanganin ini aplikasi, perasaan terakhir update UI sign up nya masih rapih dah, ini jadi begajulan lagi wkwkw, mana force close pas di coba",0,0,1,0,
Good saya sering dapat bonus,0,0,0,1,
"Jujur sih, buat di hape jadul ga enak bener app nya, aku kasih bintang 5 karena aku yakin kalian masih bisa terus berkembang. 😊👍👍",0,0,1,0,
Sbucks knp yaa ga bs sign in,0,0,1,0,
Setelah diperbarui malah ga bs login kembali.,0,0,1,0,
"Setelah update, malah tidak bisa log in karena ""internal server error"". Coba beberapa kali log in malah tetep tidak bisa dan akun di block 😂",0,0,1,0,
Gila sih sekelas starbcuk apps nya kaya gini jeleknya. Ketika apps di buka ga bisa2,0,0,1,1,
hari ini sy mo bayar pk starbucks mobile app..tp sm sekali ga bisa di buka..udah di uninstall terus di download lg ttp ga mau terbuka...berat bgt kynya masalah starbucks app ini..,0,0,1,0,
"Ini kenapa ya, app nya gak bisa dibuka. Sudah update padahal 😞",0,0,1,0,
SB the best...😍😘,0,0,0,0,
Ada problem apa ya kok ngga bisa di buka aplikasi nya?,0,0,1,0,
mudah dan fungsional,1,1,0,0,
"adanya Starbucks di sby sangat enjoy utk ngeloby dgn para kolega, juga suasananya sangat nyaman utk share dgn para businessman",0,0,0,0,
"Kekurangannya cuma 1 nggak bisa ganti nomor hp kalo udah jadi Member Premium. Rubahlah itu peraturannya, masa mau ganti nomor g bisa",0,0,1,0,
Setelah di instal ga bisa ke buka,0,0,1,0,
Di update tapi ngga bisa sign in lagi ke aplikasinya dan akibatnya ngga bisa cek saldo dan reward. Begitu beli langsung di counter jumlah reward beda dengan sebelum di update. Adakah solusi untuk hal ini? Hub customer service solusi yg diberikan tidak menjawab masalah.,0,0,1,0,
"Kemarin tgl 21 juli di suruh up date,langsung saya up date... Eeee...sampe tgl 23 ini aplikasi tdk bisa di buka setelah di up date..",0,0,1,0,
Update jadi ga bisa di buka,0,0,1,0,
Habis update terbaru malah ga bisa di buka ngebuk aplikasinya,0,0,1,0,
hallo kok setelah pembaruan app gak bisa dibuka yaa???,0,0,1,0,
"Aplikasi tidak bisa di buka setelah update, tolong di perbaiki dan update kembali",0,0,1,0,
"Perasaan Tambah hari gak tambah memudahkan ya, tambah ribet, tambah banyak masalah, sekarang aplikasinya tidak bisa dibuka, padahal masih lumayan saldonya, kacauuu, gimana kalo gini???",0,1,1,0,
Kenapa sering log out sendiri,0,0,1,0,
Aplikasi tidak bisa dibuka,0,0,1,0,
"Hari ini saya topup saldo ecard saya sebesar 200.000 kenapa tidak masuk ya hiks..saya topup sblm aplikasi diupdate, ketika update ko saldo malah tidak masuk, dan histori tidak muncul padahal di aplikasi sebelumnya ada akan tetapi saldo tidak nambah, gmn solusinya?",0,0,1,0,
"Parah beud, isi kode / otp masa harus klik kotaknya 1 per 1,",0,1,1,0,
Aplikasi tolol. Verifikasi aja di persulit!,0,1,1,1,
So bad.... Why i can't join in starbuck ? Why I can't make an account ? And why i don't get my OTP CODE ?,0,0,1,0,
Bagaimana saya mengetahui nomor kartu starbuck dan pin nya??,1,0,0,0,
Nice,0,0,0,1,
Nice,0,0,0,1,
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👍👍👍👍👍,0,0,0,1,
Starhucks... Septy,0,0,0,0,
Ok,0,0,0,1,
Mau daftar aja susah banget. Jadi berasa aplikasinya gak membantu sama sekali,1,1,0,0,
Tolong dong starbucks saya udah berkali kali log in di aplikasi nya tapi tidak perna dapat kode otp sms dari starbucks gmn saya mau log in ??,0,0,1,0,
🍺,0,0,0,0,
Good aplikasi,0,0,0,1,
Mantappppp.......👍👍👍👍👍,0,0,0,1,
"Kenapa ngga bisa top up ya? Abis klik nominal ngga lanjut ke step berikutnya, balik lagi ke pilihan nominal. Sebelumnya ngga gini padahal.",0,0,1,0,
"Aplikasi terlalu basic,tidak menarik. System masih eror",0,0,1,1,
"Tidak bisa daftar, fomat email tdk valid trs",0,0,1,0,
Bagus banget,0,0,0,1,
Apk jelek .lemot bgt.. udh gtu w ikutin sesuai petunjuk msukin member card..malah ke login n no membernya gada,0,1,1,1,
Mantap,0,0,0,1,
Minuman coffee favorite keluarga indonesia,0,0,0,0,
"AUTO RE LOGIN TERUS, SURUH SET NEW PASSCODE MULU DENGAN KIRIM OTP KE EMAIL SANGAT MEREPOTKAN!!! SEPERTI TIDAK NIAT MEMBUAT APLIKASI, MUNGKIN KURANG PENGALAMAN DI DALAM MEMBUAT FIRE WALL PATCH KEAMANAN DATA PENGGUNA E KARTU STARBUCKS SEHINGGA DIBUAT AUTO RE LOGIN DENGAN CARA BUAT ULANG SET NEW PASSCODE. SANGAT SANGAT MEREPOTKAN!!!",0,1,1,0,
"Really bad UI & UX, even to create a password requires many conditions.",0,0,1,0,
"Ini aplikasi tersulit saat mau join nya, padahal sdh ikutin semua direction",1,0,1,0,
"Baru dwonload ni app, tp blm coba top up Bantu jawab yg loginnya susah dan tidak dapat kode verifikasi coba cek difitur email kalian dikategori promosi atau spam ya. Karna otp login yg saya terima pun masuk dispam",0,0,1,0,
Bintang yg bicara...nyesel download aplikasi ini,0,0,0,1,
"Penasaran dg aplikasi ini krn banyaknya komplain yg katanya susah bgt utk bikin account & login, ternyata ngga seperti yg dikomplain'in. It's so easy, man!!! Please be smart, less complaining!",1,0,0,0,
"Sudah di install. Register via otp oke. Begitu login, minta verification via email. Ini yg masalah. Tolong perbaiki infrastrukturnya. Sudah, saya periksa di semua folder. Tidak ada.",0,0,1,0,
Gak bisa login,0,0,1,0,
Kalau ada fasilitas topup itu yang benar. Selalu gangguan terus kalau mau topup. Buat apa ada fitur itu kalau tidak bisa!,0,0,1,0,
Bagus,0,0,0,1,
Ga bisa masuk,0,0,1,0,
payahhh... tidak bisa registrasi.... sdh berulang.... buang2 waktu saja.... langsung uninstall aja gaes...,0,1,1,1,
Aplikasi yang sangat buruk,0,0,0,1,
Memudahkan,0,1,0,0,
Jelek,0,0,0,1,
"Saya ini udah 2 tahun gak login ke akun & aplikasi starbucks. Saya juga lupa dengan password akun saya, diinget-inget juga saya lupa. Masa fitur forget password gak bisa, GAK JALAN! Server sibuk apalah. Gimana sih. Sayang banget itu akun saya. Mana ada reward welcome back gak bisa saya cek.",0,0,1,0,
Pendukung Zion*s,0,0,0,0,
Damned!!,0,0,0,1,
Login susah,0,0,1,0,
Kecewa lahhh...ribettt...otp...otp...gagal trusssss... Tdk puas nih....ternyata banyak yg complaint hal yg samaaa...tolong di perbaiki sistemnya....sekelas starbucks tp kok susaahhh yaaa...just masukan agar diperbaiki...dipermudah utk pelayanan terbaik...makasih,0,0,1,0,
App jancukon,0,0,0,1,
"Mantap, mohon ditambahkan fitur history pembelian",0,0,1,1,
good!,0,0,0,1,
